,Produktnamn,Registreringsnummer
0,Hussar OD,6048
1,Spectrum,5925
2,Select NG,6010
3,Chanon,6050
4,Insecticide volants et rampants,EU-0031278-0000
5,Revus,4843
6,Verimark,6047
7,Zorvec Enicade,5814
8,Daxur,6049
9,Latitude XL,5781
10,Delan WG,5390
11,Gallery,5389
12,"1,4SIGHT",5609
13,Aerosol flygande och krypande insektsbekämpningsmedel,EU-0031281-0000
14,Aérosol Insecticide volants et rampants,EU-0031281-0000
15,Aerosol Insektsbekämpningsmedel Mint,EU-0031281-0000
16,Argos,5766
17,Beaphar Insect Spray,6023
18,Clentiga,5772
19,Cleravo,5834
20,Crawling and Flying Aerosol,EU-0031281-0000
21,Flygande och krypande sprayer,EU-0031281-0000
22,Propulse SE 250,6035
23,STOP IS,EU-0031281-0000
24,Tanaris,5411
25,VitiSan,5731
26,Beflex 500 SC,5951
27,Chloryte Standard Granules,5878-2-1
28,Chloryte Standardgranulat,5878-1-1
29,Chloryte Sticks,5878-2-2
30,BactoGuard Wipes,EU-0018737-0001
31,Cif Disinfect & Shine Multipurpose Wipes Original,EU-0018737-0001
32,Cif Disinfect & Shine Original,EU-0018737-0001
33,Dreumex Disinfectant & Cleaning Wipes,EU-0018737-0001
34,EcoSan,EU-0018737-0001
35,Germshield Wipes,EU-0018737-0001
36,Glorix Disinfect & Shine Original,EU-0018737-0001
37,Hygienix Cleaner Disinfectant,EU-0018737-0001
38,Hygienix Cleaner Disinfectant Wipes,EU-0018737-0001
39,Hygienix Cleaning and Disinfection Wipes,EU-0018737-0001
40,Hygienix Disinfecting Foam Wash DFWS-L-09191_06,EU-0018737-0045
41,Hygienix Disinfecting Foam Wash DFWS-L-09191_07,EU-0018737-0049
42,Hygienix Disinfecting Wipes,EU-0018737-0001
43,Hygienix Light Duty Cleaning and Disinfection Liquid LDL-L-0616008,EU-0018737-0001
44,Hygienix Light Duty Cleaning and Disinfection Liquid LDL-L-0616008 (wipes),EU-0018737-0001
45,Seventh Generation Disinfect & Clear Original,EU-0018737-0001
46,Seventh Generation Disinfect & Shine Original,EU-0018737-0001
47,The Ritual of Ayurveda anti-bacterial hand foam,EU-0018737-0045
48,The Ritual of Jing anti-bacterial hand foam,EU-0018737-0049
49,The Ritual of Sakura anti-bacterial hand foam,EU-0018737-0049
50,Brodifacoum 25 Paste,5636-3-1
51,Brodifacoum Grain,5636-1-1
52,KLERAT M,5636-1-1
53,Revystar XL,5584
54,Revytrex,5585
55,Systiva,5666
56,TALON M,5636-1-1
57,Talon Soft XT,5636-3-1
58,Allstar,5691
59,Imtrex XE,5532
60,Legacy 500 SC,5002
61,Pioli,5823
62,Priaxor,5345
63,Maxforce Platin,5557
64,Kinto Plus,5527
65,Librax,5453
66,Pro-Opti XL,6026
67,Proxanil,5984
68,Roxy XL,6017
69,Mavrik,4491
70,Nissorun SC,5334
71,RAK3+4,5313
72,Serenade ASO,5251
73,Autan Defense Little Kids Spray,5771
74,Autan Family Spray,5771
75,Autan Multi Pumpspray,5771
76,Zorvec Enicade,5814
77,Carnadine,5893
78,Free Land Dust,6037
79,Pico 750 WG,5510
80,Univoq,5954
81,Zoral,5980
82,Celcure MC-T2,5836
83,Celcure MC-T3,5836
84,Boracol 10/3Bd Prof,5862
85,Boracol 10_3Bd,5862
86,Boracol Special,5862
87,Questar,6043
88,810 spray,6045
89,BONUS MyraVäck pumpspray,6045
90,COM 116 02 I AL,6045
91,Demand Spray,6045
92,Ekomille CO2,EU-0027206-0000
93,Generation Block,6046
94,KILL-IT Myrspray,6045
95,Maurspray,6045
96,Myr stop LC,6045
97,Deltacaps 50 CS,6044
98,Primo Maxx II,6030
99,Tripali,6032
100,ARMATUS,5988
101,Mavrik,4491
102,FennoSan BR 98,4410
103,OgräsNIX Rapid Effekt,6016
104,Povesi,5982
105,Raport,5909
106,Sporax,5858
107,Camposan Extra,5650
108,Cerone,3571
109,Terpal (II),4579
110,Evagio Forte,5842
111,Onyx,5820
112,Clomate,5521
113,Micron Superior,5146
114,UniPro EU,5147
115,EPSOM,5978
116,Goltix Queen,5560
117,INCELO WG,5616
118,Leimay,4982
119,Mainspring,5558
120,Apotea Myggmedel DEET 40% Spray,5212
121,Care Plus Anti Insect DEET Spray 40%,5212
122,Försvarets Mygg & Fästing 40% DEET Spray,5212
123,Hjärtats Myggmedel DEET 40% Spray,5212
124,Insect Repellent Tropical Spray 40% DEET,5212
125,Mygg & Fästing Spray Deet 40%,5212
126,Quitmo Anti-Insect 40% DEET,5212
127,TravelDeet 40% spray,5212
128,Trinol DEET Spray,5212
129,Biltema Antifouling,4943
130,Biltema Antifouling BS,5149
131,Ammari,6042
132,Kudos,5659
133,Care Plus Anti Insect DEET Roll-on 30%,5213
134,Hjärtats Myggmedel DEET 30% Roll-on,5213
135,Mygg & Fästing Roll-on Deet 30%,5213
136,Rubis Grain,5447
137,Advion ant bait station,5285
138,Advion Ant Gel,5285
139,Advion Cockroach Gel,5286
140,Buteo Start FS 480,6038
141,Elatus Era,5321
142,Kayak Era,5971
143,MyggA Spray,5918
144,MyggA Stick,5920
145,Outcast ant bait station,5285
146,Revus Pro,6004
147,VectoBac G,6041
148,CIPTEN POWDER,6040
149,CMT25DP,6040
150,CYPEC 25,6040
151,CYPEC DP,6040
152,CYPTEN DP,6040
153,DTT POWDER,6040
154,EDELIKO DP,6040
155,FERACTIVE DP,6040
156,FERDP-CMT-025,6040
157,FERTRINA DP,6040
158,KAPUALIA DP,6040
159,SOLCIP DP,6040
160,SOLCIP POWDER,6040
161,TABULARASA CIP 25 DP,6040
162,TAPTY 25 DP,6040
163,WACIP DUST,6040
164,Axil 3000 P+,5874
165,Contrac Blox,5472
166,Contrac Super Size Blox,5472
167,Hawk,5472
168,Hawk Blox,5472
169,Hawk Super Size Blox,5472
170,Maxforce Quantum Myrdosa,5797
171,Notrac Blox,5472
172,Notrac Super Size Blox,5472
173,Notrac Super Size Wax Block Bait,5472
174,Notrac Wax Block Bait,5472
175,Tomcat Blox,5472
176,Tomcat Super Size Blox,5472
177,Arvalin PHOS,5884
178,Betasana 160 SE,5981
179,Betasana SC,5983
180,Detia WM,5884
181,F 10 Hype,6039-2-1
182,F 15 Hite,6039-2-2
183,F 18 Trio,6039-2-3
184,F 261 Kloriitti-Forte,6039-1-2
185,Kiilto Hypo Dip,6039-1-1
186,Kiilto Pluschlor,6039-2-4
187,PHOSTOXIN WM,5884
188,Azatin EC,5505
189,Hussar OD,4852
190,Bromadiolone Wax Block (Compressed),5541
191,Celcure AC 500,4601
192,Generation Pat',5458
193,Harmonix 3D,5788
194,Harmonix Nager Paste,5788
195,Harmonix Rodent Paste,5788
196,Protect Sewer Block,5541
197,Carnadine,5893
198,Ergon,6021
199,Nautius,6020
200,Select,5468
201,Select Plus,5293
202,Swirr Insektsbarriär,5656
203,Swirr Myrbete,5657
204,Swirr Myrdosa,5658
205,MaisTer,4906
206,Biltema Myrdosa,5247
207,Eledura,5960
208,Myrdosa NB,5247
209,Spinosad myrdosa,5247
210,Trinol Myrdosa,5247
211,COMPO Fruktflugfälla,EU-0027078-0000
212,Rozol Block Pro,5409
213,Broadway,4954
214,Broadway Star,5377
215,Kinvara,5530
216,Jablo Plus,5976
217,Mospilan SG,6028
218,Rodeo Plus,5967
219,SeaForce 60 (Spl),4849
220,Seaquantum Classic S,4697
221,Seaquantum Plus S,4696
222,Spectra Plus,5975
223,Magnet Drosophila,EU-0032488-0000-2-1
224,Magnet Flies,EU-0032488-0000-1-1
225,Korvetto,5503
226,Rexade 440,5593
227,Tombo,5267
228,Interspeed 5992,5135
229,Trilux Hard Antifouling,4815
230,Ariane S,5898
231,Cedomon,5890
232,Cedress,5888
233,Cerall,5889
234,Sekator OD,5938
235,Sofast,6034
236,TRIANUM-P,5041
237,FLiPPER,5512
238,Cruiser One,5001
239,Cruiser Polishing Antifouling,4725
240,Hempel's Antifouling Globic 9000 78900,4769
241,Hempel's Antifouling Globic 9000 78950,4768
242,Trilux Propeller,5009
243,Impralit ACA protect,5675-1-1
244,Impralit ACA protect brown,5675-1-2
245,Rozol Wheat' Tech Pro,5412
246,Tork Surface Disinfecting Spray,EU-0033691-0000
247,Anti Myra Myrdosa,5610
248,Dipel DF,5243
249,Gnatrol SC,5241
250,Joust,5990
251,Myrdosa,5610
252,Turex 50 WP,4492
253,DMA 600,5364
254,87477 EVA ANTIRAT MASTERBATCH,EU-0015777-0001
255,Klerat pellets,5471
