Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id
RN021R1,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],529,False,0.4004998207092285,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"15   Ikraftträdande,
     övergångsbestämmelser
     och genomförande





I detta kapitel redovisar utredningen förslag gällande ikraftträdande
och övergångsbestämmelser som behöver införas. Vi redovisar även
förslag gällande genomförande och implementering.


15.1   Ikraftträdande",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk4351
RN021R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[9],14,False,0.4054170846939087,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Tidpunkten för ikraftträdandet
                 När det gäller den föreslagna tidpunkten för ikraftträdandet (den 1 juli 2024)
                    anför regeringen att syftet med förslagen  till ändringar  i skollagen är att",2023_24_UbU6_20231211104325_Publicering.pdf_chunk136
RN021R3,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],530,False,0.411759614944458,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Förslaget om ändring  i lagen (2007:1157) om yrkesförar-
          kompetens ska träda i kraft den 1 januari 2022. Överväganden om införande",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk4367
RN021R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],198,False,0.42525672912597656,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"I kapitel 11–14 redovisar vi våra förslag. I kapitel 15 redovisas när
           förslagen ska träda i kraft och vilka övergångsbestämmelser som ska
           finnas samt genomförandet av förslagen. Kapitel 16 innehåller en
          beskrivning av de konsekvenser som utredningen har identifierat",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk1476
RN021R5,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],534,False,0.43431931734085083,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Ikraftträdande, övergångsbestämmelser och genomförande                    SOU 2020:43",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk4399
RN022R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],5,True,0.25440049171447754,100.0,16,100.0,16,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Lagrådet
Regeringen beslutade den 22 juni 2023 att inhämta Lagrådets yttrande över
det lagförslag som finns i propositionen. Lagrådets synpunkter behandlas i
avsnitt 6.2 i propositionen.

Propositionens huvudsakliga innehåll",2023_24_UbU6_20231211104325_Publicering.pdf_chunk31
RN022R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],15,False,0.35955125093460083,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Lagförslaget bör därför antas av de skäl som anförs ovan och i proposi-
tionen.
   Utskottet delar även regeringens bedömning  att riksdagens tillkänna-
givande får anses tillgodosett.
Utskottet övergår nu till att behandla motionsyrkanden som innehåller förslag",2023_24_UbU6_20231211104325_Publicering.pdf_chunk146
RN022R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],7,False,0.4039621353149414,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Betänkandet är disponerat så att utskottet inleder med att behandla regeringens
lagförslag. Därefter behandlas motionsyrkanden som innehåller förslag  till
tillkännagivanden till regeringen i frågor som anknyter till lagförslaget.

Regeringens lagförslag",2023_24_UbU6_20231211104325_Publicering.pdf_chunk39
RN022R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],1,False,0.4290640354156494,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Utskottet ställer sig bakom regeringens förslag till ändringar i skollagen.
   Lagändringarna syftar till att stärka elevernas tillgång till ändamålsenliga
läromedel och innebär att de bestämmelser som reglerar vad eleverna ska ha",2023_24_UbU6_20231211104325_Publicering.pdf_chunk2
RN022R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],31,False,0.4301159381866455,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"regeringen.
31.1.  Riksdagen  ställer sig bakom det som anförs  i motionen om  att
       förverkliga Läromedelsutredningens förslag och tillkännager detta för
       regeringen.
Förslaget behandlas i den del som avser Läromedelsutredningens förslag om",2023_24_UbU6_20231211104325_Publicering.pdf_chunk313
