Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id
RN021R1,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],529,False,0.38072681427001953,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"15   Ikraftträdande,
     övergångsbestämmelser
     och genomförande





I detta kapitel redovisar utredningen förslag gällande ikraftträdande
och övergångsbestämmelser som behöver införas. Vi redovisar även
förslag gällande genomförande och implementering.


15.1   Ikraftträdande

15.1.1  Införandet bör vara så samlat som möjligt",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk4346
RN021R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[9],14,False,0.4021231532096863,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Tidpunkten för ikraftträdandet
                 När det gäller den föreslagna tidpunkten för ikraftträdandet (den 1 juli 2024)
                    anför regeringen att syftet med förslagen  till ändringar  i skollagen är att
                    elevernas tillgång till ändamålsenliga läromedel ska öka. Regeringen anser
                    därför att lagändringarna ska träda i kraft så tidigt som möjligt. 14",2023_24_UbU6_20231211104325_Publicering.pdf_chunk127
RN021R3,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],535,False,0.4196399450302124,90.9090909090909,10,0.0,0,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"behöver börja tillämpas vid olika tidpunkter. Utredningen föreslår
därför att ändringarna genomförs genom två olika lagar om ändring
i skollagen, en lag som träder i kraft den 1 juli 2021 (se avsnitt 1.1)
och en lag som träder i kraft den 1 januari 2022 (se avsnitt 1.2). 535",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk4412
RN021R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],530,False,0.4343058466911316,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Ikraftträdande, övergångsbestämmelser och genomförande                    SOU 2020:43",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk4353
RN021R5,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],536,False,0.4343058466911316,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Ikraftträdande, övergångsbestämmelser och genomförande                    SOU 2020:43",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk4413
RN022R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],5,True,0.25440049171447754,100.0,16,100.0,16,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Lagrådet
Regeringen beslutade den 22 juni 2023 att inhämta Lagrådets yttrande över
det lagförslag som finns i propositionen. Lagrådets synpunkter behandlas i
avsnitt 6.2 i propositionen.

Propositionens huvudsakliga innehåll",2023_24_UbU6_20231211104325_Publicering.pdf_chunk28
RN022R2,2023_24_ubu6_20231211104325_publicering.pdf,examensarbete150510.pdf,False,[5],31,False,0.3578205704689026,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Regeringen följde därför Lagrådets linje och lagtexten ändrades till den
nuvarande lydelsen.",Examensarbete150510.pdf_chunk286
RN022R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],2,False,0.3932124376296997,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Utskottets förslag till riksdagsbeslut ............................................................... 3
                  Redogörelse för ärendet .................................................................................. 5
                   Ärendet och dess beredning .......................................................................... 5
                     Propositionens huvudsakliga innehåll .......................................................... 5
                     Utskottets överväganden ................................................................................. 7
                    Regeringens lagförslag ................................................................................. 7
                    Frågor om rätten till läromedel m.m. .......................................................... 16",2023_24_UbU6_20231211104325_Publicering.pdf_chunk9
RN022R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[5],219,False,0.43705523014068604,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"48 Prop. 2011/12:50. Riksdagen beslutade i enlighet med propositionen i dessa frågor.
49 Dir. 2015:31.
50 Dir. 2015:141.
51 SOU 2016:77.



                                                                 219",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk1630
RN022R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],7,False,0.43844980001449585,25.0,4,25.0,4,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"2023/24:UbU6

Utskottets överväganden


Inledning

Betänkandet är disponerat så att utskottet inleder med att behandla regeringens
lagförslag. Därefter behandlas motionsyrkanden som innehåller förslag  till
tillkännagivanden till regeringen i frågor som anknyter till lagförslaget.

Regeringens lagförslag",2023_24_UbU6_20231211104325_Publicering.pdf_chunk35
RN023R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],23,False,0.33138585090637207,0.0,0,9.146341463414634,15,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"läromedel av hög kvalitet för alla elever  i förskoleklassen, grundskolan,
grundsärskolan, specialskolan, sameskolan, gymnasieskolan och gymnasie-
särskolan. I uppdraget ingick också föreslå hur statens roll bör se ut när det
gäller läromedel  i svensk skola. Utredningen överlämnade  i augusti 2021",2023_24_UbU6_20231211104325_Publicering.pdf_chunk225
RN023R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],23,False,0.335457980632782,0.0,0,3.048780487804878,5,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Läromedelsutredningen
Utredningen om stärkta skolbibliotek och läromedel har bl.a. haft i uppdrag att
utreda och  föreslå  åtgärder  för  att säkra  tillgången  till ändamålsenliga
läromedel av hög kvalitet för alla elever  i förskoleklassen, grundskolan,",2023_24_UbU6_20231211104325_Publicering.pdf_chunk224
RN023R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],7,False,0.3536869287490845,2.4390243902439024,4,0.0,0,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"läromedel, överlämnade den 19 januari 2021 delbetänkandet Skolbibliotek för
bildning och utbildning (SOU 2021:3) och den 17 augusti 2021 slutbetänkan-
det Läromedelsutredningen – böckernas betydelse och elevernas tillgång till
kunskap (SOU 2021:70).",2023_24_UbU6_20231211104325_Publicering.pdf_chunk41
RN023R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.362044095993042,0.0,0,3.658536585365854,6,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i
svensk  skola. Utredningen överlämnade  i augusti 2021 slutbetänkandet
Läromedelsutredningen – böckernas betydelse och elevernas tillgång  till
kunskap (SOU  2021:70).   I  propositionen  behandlas  vissa  förslag   i",2023_24_UbU6_20231211104325_Publicering.pdf_chunk284
RN023R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],7,False,0.36245429515838623,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"det Läromedelsutredningen – böckernas betydelse och elevernas tillgång till
kunskap (SOU 2021:70).
   Propositionen behandlar vissa förslag i slutbetänkandet. Det gäller förslaget
i avsnitt 4.7.1 som avser en definition av läromedel i skollagen (2010:800)",2023_24_UbU6_20231211104325_Publicering.pdf_chunk42
RN024R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.41247016191482544,5.660377358490566,9,3.7735849056603774,6,False,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,"Vi anser  att det är angeläget  att regeringen  fortsätter arbetet för  att
säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla
skolor. Vi avser att noga följa frågan. 29",2023_24_UbU6_20231211104325_Publicering.pdf_chunk287
RN024R2,2023_24_ubu6_20231211104325_publicering.pdf,den svenska kolonialmaktens betydelse.pdf,False,[29],17,False,0.4550889730453491,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,"utveckling, vilket skulle gagna både Ers Majestäts rykte och landets välstånd. [...] Jag hoppas att min påminnelse

inte uppfattas negativt, utan som en ödmjuk begäran om fortsatt stöd.33 (Egen modernisering)

Oxenstierna nämner till Kristina en positiv utveckling och hur den skulle kunna fortsätta",Den svenska kolonialmaktens betydelse.pdf_chunk148
RN024R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],20,False,0.46257907152175903,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,"anser dock regeringen vara  alltför långtgående. Regeringen pekar på  att
                    Skolverket, som avstyrker förslaget i denna del, bl.a. anför att en myndighet i
                    så fall bör få i uppdrag att granska och godkänna produkten, vilket skulle vara
                 mycket resurskrävande och också kräva  tydliga  preciseringar av  vilka",2023_24_UbU6_20231211104325_Publicering.pdf_chunk188
