Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id
RN021R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[9],9,True,0.33327674865722656,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Ikraftträdande
Regeringen föreslår att lagändringarna ska träda i kraft den 1 juli 2024.


Skälen för regeringens förslag",2023_24_UbU6_20231211104325_Publicering.pdf_chunk52
RN021R2,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],530,False,0.3621025085449219,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,kompetens ska träda i kraft den 1 januari 2022. Överväganden om införande,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk3423
RN021R3,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],529,False,0.4254908561706543,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"15   Ikraftträdande,
     övergångsbestämmelser
     och genomförande





I detta kapitel redovisar utredningen förslag gällande ikraftträdande
och övergångsbestämmelser som behöver införas. Vi redovisar även
förslag gällande genomförande och implementering.


15.1   Ikraftträdande

15.1.1  Införandet bör vara så samlat som möjligt",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk3412
RN021R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],84,False,0.4289155602455139,0.0,0,54.54545454545455,6,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"1. Denna lag träder i kraft den 1 januari 2022.
               2. Lagen tillämpas på utbildning som efter den 30 juni 2024
          påbörjas på ett nationellt program i gymnasieskolan, på introduk-
         tionsprogram  i gymnasieskolan, på program  i gymnasiesärskolan
         samt inom kommunal vuxenutbildning på gymnasial nivå och kom-",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk501
RN021R5,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],85,False,0.43226152658462524,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"1. Denna lag träder i kraft den 1 januari 2022.
   2. Lagen tillämpas från och med den 1 juli 2024.
   3. Bestämmelsen  i sin äldre lydelse gäller för utbildning som
påbörjats före den 1 juli 2024.





49 Senaste lydelse 2010:872.



                                                                  85",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk509
RN022R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],5,True,0.33211272954940796,100.0,16,100.0,16,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Lagrådet
Regeringen beslutade den 22 juni 2023 att inhämta Lagrådets yttrande över
det lagförslag som finns i propositionen. Lagrådets synpunkter behandlas i
avsnitt 6.2 i propositionen.

Propositionens huvudsakliga innehåll",2023_24_UbU6_20231211104325_Publicering.pdf_chunk24
RN022R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],9,False,0.43095505237579346,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Ikraftträdande
Regeringen föreslår att lagändringarna ska träda i kraft den 1 juli 2024.


Skälen för regeringens förslag",2023_24_UbU6_20231211104325_Publicering.pdf_chunk52
RN022R3,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[5],"102,103",False,0.4455382227897644,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"60 Senaste lydelse 2018:1328.



           102 SOU 2020:43                                                                         Författningsförslag",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk624
RN022R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[5],"107,108",False,0.46546775102615356,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"66 Senaste lydelse 2018:1328.
67 Senaste lydelse 2012:402.



                                                                 107 Författningsförslag                                              SOU 2020:43",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk658
RN022R5,2023_24_ubu6_20231211104325_publicering.pdf,examensarbete150510.pdf,False,[5],12,False,0.46619927883148193,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"1993:39 lades fram. Grunden till förslaget återfanns till stora delar i de två
betänkanden som tidigare framlagts men de var nu sammanslagna till en
enda lag. 22",Examensarbete150510.pdf_chunk80
