Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id
RN021R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[9],14,False,0.42069441080093384,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,När det gäller den föreslagna tidpunkten för ikraftträdandet (den 1 juli 2024) anför regeringen att syftet med förslagen till ändringar i skollagen är att elevernas tillgång till ändamålsenliga läromedel ska öka. Regeringen anser därför att lagändringarna ska träda i kraft så tidigt som möjligt.,2023_24_UbU6_20231211104325_Publicering_page14.md_chunk11
RN021R2,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],530,False,0.42095720767974854,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,Förslaget om ändring i lagen (2007:1157) om yrkesförarkompetens ska träda i kraft den 1 januari 2022. Överväganden om införande,bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page530.md_chunk7
RN021R3,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],198,False,0.4269654154777527,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,I kapitel 11–14 redovisar vi våra förslag. I kapitel 15 redovisas när förslagen ska träda i kraft och vilka övergångsbestämmelser som ska finnas samt genomförandet av förslagen. Kapitel 16 innehåller en beskrivning av de konsekvenser som utredningen har identifierat följer av förslagen.,bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page198.md_chunk2
RN021R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],535,False,0.4370323419570923,0.0,0,45.45454545454545,5,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,och en proposition ska ha beslutats i riksdagen. För att tidsplanen om införande hösten 2024 ska kunna genomföras innebär det att Skolverket bör få ett förberedande uppdrag redan under hösten innevarande år (2020).,bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page535.md_chunk3
RN021R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[9],1,False,0.44267910718917847,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Lagändringarna föreslås träda i kraft den 1 juli 2024. Utskottet anser att riksdagen bör avslå motionsyrkandena. I betänkandet finns sex reservationer (S, V, C, MP) och ett särskilt yttrande (S). Behandlade förslag Proposition 2023/24:21 Stärkt tillgång till läromedel. Sex yrkanden i två följdmotioner.",2023_24_UbU6_20231211104325_Publicering_page1.md_chunk7
RN022R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],5,True,0.2664254307746887,100.0,16,100.0,16,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Lagrådet Regeringen beslutade den 22 juni 2023 att inhämta Lagrådets yttrande över det lagförslag som finns i propositionen. Lagrådets synpunkter behandlas i avsnitt 6.2 i propositionen. Propositionens huvudsakliga innehåll,2023_24_UbU6_20231211104325_Publicering_page5.md_chunk4
RN022R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],15,False,0.3775385022163391,25.0,4,31.25,5,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Lagförslaget bör därför antas av de skäl som anförs ovan och i proposi tionen. Utskottet delar även regeringens bedömning att riksdagens tillkännagivande får anses tillgodosett. Utskottet övergår nu till att behandla motionsyrkanden som innehåller förslag om tillkännagivanden i frågor som anknyter till lagförslaget. 2023/24:UbU6,2023_24_UbU6_20231211104325_Publicering_page15.md_chunk8
RN022R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],7,False,0.3939010500907898,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Utskottets överväganden Inledning Betänkandet är disponerat så att utskottet inleder med att behandla regeringens lagförslag. Därefter behandlas motionsyrkanden som innehåller förslag till tillkännagivanden till regeringen i frågor som anknyter till lagförslaget. Regeringens lagförslag Utskottets förslag i korthet,2023_24_UbU6_20231211104325_Publicering_page7.md_chunk1
RN022R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],3,False,0.4158993363380432,0.0,0,31.25,5,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Utskottets förslag till riksdagsbeslut 1. Regeringens lagförslag Riksdagen antar regeringens förslag till lag om ändring i skollagen (2010:800). Därmed bifaller riksdagen proposition 2023/24:21.,2023_24_UbU6_20231211104325_Publicering_page3.md_chunk1
RN022R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],15,False,0.42952167987823486,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,I propositionen bedömer regeringen att tillkännagivandet är tillgodosett genom de förslag till ändringar i skollagen som lämnas i propositionen. Utskottets ställningstagande,2023_24_UbU6_20231211104325_Publicering_page15.md_chunk5
RN023R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.35395175218582153,100.0,164,100.0,164,False,True,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Bra läromedel är en viktig del av undervisningen och avgörande för våra barns och ungas lärande, inte minst för dem som inte kommer från studievana hem. Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola. Utredningen överlämnade i augusti 2021 slutbetänkandet",2023_24_UbU6_20231211104325_Publicering_page29.md_chunk2
RN023R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],13,False,0.35540443658828735,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,1 Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). 2023/24:UbU6,2023_24_UbU6_20231211104325_Publicering_page13.md_chunk10
RN023R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.3740438222885132,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). I propositionen behandlas vissa förslag i slutbetänkandet. Vi har ställt oss bakom propositionen som innebär att elevernas rätt till läroböcker, andra läromedel och andra lärverktyg förtydligas",2023_24_UbU6_20231211104325_Publicering_page29.md_chunk3
RN023R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],31,False,0.3839607238769531,2.4390243902439024,4,0.0,0,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,förverkliga Läromedelsutredningens förslag och tillkännager detta för regeringen. Förslaget behandlas i den del som avser Läromedelsutredningens förslag om förtydligande i skollagens bestämmelser om att elevernas tillgång till böcker och lärverktyg ska förverkligas. 2023/24:UbU6,2023_24_UbU6_20231211104325_Publicering_page31.md_chunk6
RN023R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],7,False,0.3877294063568115,2.4390243902439024,4,0.0,0,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Utredningen, som tog namnet Utredningen om stärkta skolbibliotek och läromedel, överlämnade den 19 januari 2021 delbetänkandet Skolbibliotek för bildning och utbildning (SOU 2021:3) och den 17 augusti 2021 slutbetänkandet Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70).",2023_24_UbU6_20231211104325_Publicering_page7.md_chunk5
RN024R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],24,False,0.409834623336792,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,Regeringen bör vidta åtgärder enligt vad som anförts ovan.,2023_24_UbU6_20231211104325_Publicering_page24.md_chunk7
RN024R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],28,False,0.409834623336792,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,Regeringen bör vidta åtgärder enligt vad som anförts ovan.,2023_24_UbU6_20231211104325_Publicering_page28.md_chunk9
RN024R3,2023_24_ubu6_20231211104325_publicering.pdf,den svenska kolonialmaktens betydelse.pdf,False,[29],17,False,0.4147406220436096,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,"fortsätta. [...] Jag önskar att fler vill ta ansvar för att upprätthålla kostnaderna och främja denna positiva utveckling, vilket skulle gagna både Ers Majestäts rykte och landets välstånd. [...] Jag hoppas att min påminnelse inte uppfattas negativt, utan som en ödmjuk begäran om fortsatt stöd. [33] (Egen modernisering)",Den svenska kolonialmaktens betydelse_page17.md_chunk6
RN024R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.4291040897369385,100.0,159,100.0,159,False,True,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor. Vi avser att noga följa frågan. 2023/24:UbU6,2023_24_UbU6_20231211104325_Publicering_page29.md_chunk5
RN024R5,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[29],650,False,0.44185882806777954,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,att tydligare uttrycka att de föreskrifter som meddelas av regeringen 650,bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page650.md_chunk8
RN025R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],17,True,0.22984474897384644,100.0,130,100.0,130,False,True,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg. Vidare föreslår regeringen att det i de olika skolformskapitel som avser förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska anges att eleverna ska ha tillgång",2023_24_UbU6_20231211104325_Publicering_page17.md_chunk4
RN025R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],5,False,0.2788342237472534,27.692307692307693,36,0.0,0,False,False,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,"I propositionen föreslår regeringen ändringar i skollagen (2010:800) i syfte att stärka elevernas tillgång till ändamålsenliga läromedel. De bestämmelser som reglerar vad eleverna ska ha tillgång till i utbildningen i förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan,",2023_24_UbU6_20231211104325_Publicering_page5.md_chunk5
RN025R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],8,False,0.28215014934539795,0.0,0,20.0,26,False,False,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,"Regeringens förslag Förslagen till ändringarna i skollagen innebär i huvudsak följande. Tydliga definitioner av läroböcker, läromedel och lärverktyg ska införas i skollagen Regeringen föreslår att skollagen ska kompletteras med definitioner av begreppen läromedel, lärobok och lärverktyg.",2023_24_UbU6_20231211104325_Publicering_page8.md_chunk10
RN025R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],17,True,0.30349278450012207,0.0,0,8.461538461538462,11,False,False,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,"Sammantaget föreslår regeringen att det i skollagen ska anges att elever i förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg som behövs för en god",2023_24_UbU6_20231211104325_Publicering_page17.md_chunk6
