Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id
RN021R1,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],540,False,0.44250214099884033,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"förändringar, och – genomföra implementeringsinsatser av samtliga förslag. Utredningens förslag kommer att innebära att Skolverket får ett om fattande uppdrag av regeringen som kommer att bestå av flera delar. Implementeringen kommer att bestå av två delar, eftersom förslagen införs dels från 1 juli 2022, dels från 1 juli 2024.",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk3023
RN021R2,2023_24_ubu6_20231211104325_publicering.pdf,examensarbete150510.pdf,False,[9],13,False,0.44422733783721924,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"frågan. 23 Trots att en promemoria, DS 1993:39, nu hade lagts fram så hände inte mycket mer. Tiden gick och så småningom kom dock arbetet med en proposition igång vilket efter många turer och en hel del kritik från olika parter resulterade i att nya FAL trädde i kraft den 1 januari 2006.",Examensarbete150510.pdf_chunk71
RN021R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[9],1,False,0.4489091634750366,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"anskaffningskostnader. Lagändringarna föreslås träda i kraft den 1 juli 2024. Utskottet anser att riksdagen bör avslå motionsyrkandena. I betänkandet finns sex reservationer (S, V, C, MP) och ett särskilt yttrande (S).",2023_24_UbU6_20231211104325_Publicering.pdf_chunk5
RN021R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],530,False,0.4541342854499817,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,2027. Förslaget om ändring i lagen (2007:1157) om yrkesförar kompetens ska träda i kraft den 1 januari 2022. Överväganden om införande Våra förslag syftar till att främja elevers kunskapsutveckling och att betygen bättre ska motsvara elevernas kunskaper.,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk2957
RN021R5,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],535,False,0.4608316421508789,90.9090909090909,10,0.0,0,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Utredningen föreslår därför att ändringarna genomförs genom två olika lagar om ändring i skollagen, en lag som träder i kraft den 1 juli 2021 (se avsnitt 1.1) och en lag som träder i kraft den 1 januari 2022 (se avsnitt 1.2). 535",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk2994
RN022R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],15,False,0.3571832776069641,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Lagförslaget bör därför antas av de skäl som anförs ovan och i propositionen. Utskottet delar även regeringens bedömning att riksdagens tillkännagivande får anses tillgodosett. Utskottet övergår nu till att behandla motionsyrkanden som innehåller förslag om tillkännagivanden i frågor som anknyter till lagförslaget. 15,2023_24_UbU6_20231211104325_Publicering.pdf_chunk96
RN022R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],15,False,0.41164177656173706,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,säkerställa god tillgång till kvalitetssäkrade läromedel. Utskottet ansåg att regeringen borde vidta åtgärder i enlighet med detta. I propositionen bedömer regeringen att tillkännagivandet är tillgodosett genom de förslag till ändringar i skollagen som lämnas i propositionen.,2023_24_UbU6_20231211104325_Publicering.pdf_chunk93
RN022R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],5,True,0.4158698320388794,100.0,16,100.0,16,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"kvalitetssäkrade läromedel (bet. 2021/22:UbU15, punkt 18, rskr. 2021/2022:231). I betänkandet behandlas även den redovisning av hanteringen av tillkännagivandet som regeringen gör i propositionen. Lagrådet Regeringen beslutade den 22 juni 2023 att inhämta Lagrådets yttrande över det lagförslag som finns i propositionen.",2023_24_UbU6_20231211104325_Publicering.pdf_chunk19
RN022R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],3,False,0.4212726950645447,0.0,0,31.25,5,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"Regeringens lagförslag Riksdagen antar regeringens förslag till lag om ändring i skollagen (2010:800). Därmed bifaller riksdagen proposition 2023/24:21. 2. Frågor om rätten till läromedel m.m. Riksdagen avslår motionerna 2023/24:1930 av Mattias Jonsson och Amalia Rud Pedersen (båda S), 2023/24:2451 av Camilla Hansén",2023_24_UbU6_20231211104325_Publicering.pdf_chunk11
RN022R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],7,False,0.42321836948394775,25.0,4,25.0,4,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,2023/24:UbU6 Utskottets överväganden Inledning Betänkandet är disponerat så att utskottet inleder med att behandla regeringens lagförslag. Därefter behandlas motionsyrkanden som innehåller förslag till tillkännagivanden till regeringen i frågor som anknyter till lagförslaget.,2023_24_UbU6_20231211104325_Publicering.pdf_chunk25
RN023R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],23,False,0.3397709131240845,0.0,0,3.048780487804878,5,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Läromedelsutredningen Utredningen om stärkta skolbibliotek och läromedel har bl.a. haft i uppdrag att utreda och föreslå åtgärder för att säkra tillgången till ändamålsenliga läromedel av hög kvalitet för alla elever i förskoleklassen, grundskolan, grundsärskolan, specialskolan, sameskolan, gymnasieskolan och gymnasiesärskolan.",2023_24_UbU6_20231211104325_Publicering.pdf_chunk155
RN023R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],23,False,0.3598145842552185,0.0,0,45.73170731707317,75,False,True,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,I uppdraget ingick också föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola. Utredningen överlämnade i augusti 2021 slutbetänkandet Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). I slutbetänkandet föreslår utredningen bl.a.,2023_24_UbU6_20231211104325_Publicering.pdf_chunk156
RN023R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],7,False,0.36362338066101074,2.4390243902439024,4,0.0,0,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"2020:109 och dir. 2021:21). Utredningen, som tog namnet Utredningen om stärkta skolbibliotek och läromedel, överlämnade den 19 januari 2021 delbetänkandet Skolbibliotek för bildning och utbildning (SOU 2021:3) och den 17 augusti 2021 slutbetänkandet Läromedelsutredningen –",2023_24_UbU6_20231211104325_Publicering.pdf_chunk29
RN023R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],13,False,0.3800942897796631,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Formuleringen innebär att de läroböcker, andra läromedel och andra lärverktyg som används i undervisningen ska stödja elevernas 1 Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). 13",2023_24_UbU6_20231211104325_Publicering.pdf_chunk80
RN023R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.38135063648223877,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Utredningen överlämnade i augusti 2021 slutbetänkandet Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). I propositionen behandlas vissa förslag i slutbetänkandet. Vi har ställt oss bakom propositionen som innebär att elevernas rätt till läroböcker, andra läromedel och andra lärverktyg",2023_24_UbU6_20231211104325_Publicering.pdf_chunk197
RN024R1,2023_24_ubu6_20231211104325_publicering.pdf,den svenska kolonialmaktens betydelse.pdf,False,[29],17,False,0.443606972694397,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,"[...] Jag önskar att fler vill ta ansvar för att upprätthålla kostnaderna och främja denna positiva utveckling, vilket skulle gagna både Ers Majestäts rykte och landets välstånd. [...] Jag hoppas att min påminnelse inte uppfattas negativt, utan som en ödmjuk begäran om fortsatt stöd.33 (Egen",Den svenska kolonialmaktens betydelse.pdf_chunk106
RN024R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],21,False,0.44662827253341675,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,kräva tydliga preciseringar av vilka dimensioner som ska granskas. I sammanhanget noterar utskottet att regeringen i propositionen anför att den har för avsikt att följa upp om de åtgärder som nu föreslås för tydligare styrning mot kvalitetssäkrade läromedel får önskvärd effekt och är beredd att ta ytterligare steg om det bedöms nödvändigt.,2023_24_UbU6_20231211104325_Publicering.pdf_chunk145
RN024R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],27,False,0.4473766088485718,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,ställer sig bakom det som anförs i reservationen och tillkännager detta för regeringen. Därmed bifaller riksdagen motion 2023/24:2755 av Åsa Westlund m.fl. (S) yrkandena 1 och 2 samt bifaller delvis motion 2023/24:2753 av Daniel Riazat m.fl. (V) yrkande 3.,2023_24_UbU6_20231211104325_Publicering.pdf_chunk182
RN024R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],15,False,0.4514763355255127,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,säkerställa god tillgång till kvalitetssäkrade läromedel. Utskottet ansåg att regeringen borde vidta åtgärder i enlighet med detta. I propositionen bedömer regeringen att tillkännagivandet är tillgodosett genom de förslag till ändringar i skollagen som lämnas i propositionen.,2023_24_UbU6_20231211104325_Publicering.pdf_chunk93
RN024R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],19,False,0.4577595591545105,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,till att regeringen har för avsikt att följa upp om de åtgärder som föreslås i propositionen för tydligare styrning mot kvalitetssäkrade läromedel får önskvärd effekt och är beredd att ta ytterligare steg om det bedöms nödvändigt.,2023_24_UbU6_20231211104325_Publicering.pdf_chunk123
RN025R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],9,False,0.28739893436431885,0.0,0,8.461538461538462,11,False,False,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,Skälen för regeringens förslag Behovet av fler definitioner i skollagen som tar sikte på elevernas lärande Regeringen anser att de nuvarande bestämmelserna i skollagen i de olika skolformskapitlen om att eleverna ska ha tillgång till böcker och andra lärverktyg som behövs för en tidsenlig utbildning behöver förtydligas.,2023_24_UbU6_20231211104325_Publicering.pdf_chunk44
RN025R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],5,False,0.30438441038131714,0.0,0,59.23076923076923,77,False,True,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,"Vidare ska skollagen kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg. Motsvarande förtydligande av vad eleverna ska ha tillgång till i utbildningen föreslås beträffande de olika utbildningsformerna inom kommunal vuxenutbildning (komvux).",2023_24_UbU6_20231211104325_Publicering.pdf_chunk22
RN025R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],7,False,0.3182133436203003,0.0,0,8.461538461538462,11,False,False,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,"Regeringens lagförslag Utskottets förslag i korthet Riksdagen antar regeringen förslag till lag om ändringar i skollagen. Ändringarna innebär att elevernas rätt till läroböcker, andra läromedel och andra lärverktyg förtydligas. Följdändringar görs när det gäller terminologin i de bestämmelser som avser den kommunala vuxenutbildningen.",2023_24_UbU6_20231211104325_Publicering.pdf_chunk26
RN025R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[17],43,False,0.32355475425720215,0.0,0,0.0,0,True,False,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,"1 Författningsförslag 1.1 Förslag till lag om ändring i skollagen (2010:800) Härigenom föreskrivs i fråga om skollagen (2010:800) att 3 kap. 2, 4, 5, 7, 10 och 12 i §§, 7 kap. 5 och 14–15 §§, 10 kap. 12– 13, 17, 19–20, 21 och 23 a §§, 11 kap.",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf_chunk167
RN025R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],5,False,0.3240196108818054,27.692307692307693,36,0.0,0,False,False,Easy,Education,"I propositionen föreslår regeringen att skollagen ska kompletteras med definitioner av begreppen lärobok, läromedel och lärverktyg",Vad föreslår regeringen att skollagen ska kompletteras med?,"Lagrådets synpunkter behandlas i avsnitt 6.2 i propositionen. Propositionens huvudsakliga innehåll I propositionen föreslår regeringen ändringar i skollagen (2010:800) i syfte att stärka elevernas tillgång till ändamålsenliga läromedel. De bestämmelser som reglerar vad eleverna ska ha tillgång till i utbildningen i förskoleklassen, grundskolan, anpassade",2023_24_UbU6_20231211104325_Publicering.pdf_chunk20
RN026R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],14,False,0.19919252395629883,0.0,0,58.47953216374269,200,False,True,Easy,Education,"Sammantaget föreslår regeringen att det i skollagen ska anges att elever i förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg som behövs för en god kunskapsutveckling i enlighet med utbildningens mål","Vilka skolformer omfattas av kravet att elever ska ha tillgång till läroböcker, läromedel och lärverktyg?","specialskolan och sameskolan, gymnasieskolan och anpassade gymnasieskolan ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg som behövs för en god kunskapsutveckling i enlighet med utbildningens mål. I bestämmelserna ska det för alla nu nämnda skolformer, liksom hittills, anges att eleverna ska ha denna tillgång utan kostnad.",2023_24_UbU6_20231211104325_Publicering.pdf_chunk82
RN026R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],1,False,0.2161625623703003,0.0,0,0.0,0,True,False,Easy,Education,"Sammantaget föreslår regeringen att det i skollagen ska anges att elever i förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg som behövs för en god kunskapsutveckling i enlighet med utbildningens mål","Vilka skolformer omfattas av kravet att elever ska ha tillgång till läroböcker, läromedel och lärverktyg?","reglerar vad eleverna ska ha tillgång till i utbildningen i förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan förtydligas. Det ska i bestämmelserna anges att eleverna utan kostnad ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg",2023_24_UbU6_20231211104325_Publicering.pdf_chunk2
RN026R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],11,False,0.2279365062713623,0.0,0,0.0,0,True,False,Easy,Education,"Sammantaget föreslår regeringen att det i skollagen ska anges att elever i förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg som behövs för en god kunskapsutveckling i enlighet med utbildningens mål","Vilka skolformer omfattas av kravet att elever ska ha tillgång till läroböcker, läromedel och lärverktyg?","Tydliggörande av elevernas rätt till läromedel, läroböcker och lärverktyg Rätten till läromedel I skollagens olika skolformskapitel anges att elever ska ha rätt till böcker och andra lärverktyg som behövs för en tidsenlig utbildning. Regeringen anför att den snabba digitaliseringen har medfört ett behov av att förtydliga vad bestämmelserna innebär.",2023_24_UbU6_20231211104325_Publicering.pdf_chunk62
RN026R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],17,True,0.24718958139419556,0.0,0,0.0,0,True,False,Easy,Education,"Sammantaget föreslår regeringen att det i skollagen ska anges att elever i förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg som behövs för en god kunskapsutveckling i enlighet med utbildningens mål","Vilka skolformer omfattas av kravet att elever ska ha tillgång till läroböcker, läromedel och lärverktyg?","läromedel och lärverktyg. Vidare föreslår regeringen att det i de olika skolformskapitel som avser förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska anges att eleverna ska ha tillgång till läromedel. Det ska dessutom framgå av skollagen att elever också ska ha tillgång till läroböcker.",2023_24_UbU6_20231211104325_Publicering.pdf_chunk108
RN026R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[17],5,False,0.2630729675292969,0.0,0,42.10526315789474,144,False,True,Easy,Education,"Sammantaget föreslår regeringen att det i skollagen ska anges att elever i förskoleklassen, grundskolan, anpassade grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg som behövs för en god kunskapsutveckling i enlighet med utbildningens mål","Vilka skolformer omfattas av kravet att elever ska ha tillgång till läroböcker, läromedel och lärverktyg?","grundskolan, specialskolan, sameskolan, gymnasieskolan och anpassade gymnasieskolan ska förtydligas. Det ska i bestämmelserna anges att eleverna utan kostnad ska ha tillgång till läroböcker, andra läromedel och andra lärverktyg som behövs för en god kunskapsutveckling i enlighet med utbildningens mål.",2023_24_UbU6_20231211104325_Publicering.pdf_chunk21
