Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id
RN021R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[9],14,False,0.41718149185180664,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,Tidpunkten för ikraftträdandet När det gäller den föreslagna tidpunkten för ikraftträdandet (den 1 juli 2024) anför regeringen att syftet med förslagen till ändringar i skollagen är att elevernas tillgång till ändamålsenliga läromedel ska öka. Regeringen anser därför att lagändringarna ska träda i kraft så tidigt som möjligt.,2023_24_UbU6_20231211104325_Publicering_page14.md_chunk12
RN021R2,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],198,False,0.42689305543899536,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,I kapitel 11–14 redovisar vi våra förslag. I kapitel 15 redovisas när förslagen ska träda i kraft och vilka övergångsbestämmelser som ska finnas samt genomförandet av förslagen. Kapitel 16 innehåller en beskrivning av de konsekvenser som utredningen har identifierat följer av förslagen.,bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page198.md_chunk2
RN021R3,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],530,False,0.4282701015472412,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,Förslaget om ändring i lagen (2007:1157) om yrkesförarkompetens ska träda i kraft den 1 januari 2022.,bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page530.md_chunk6
RN021R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],529,False,0.44315797090530396,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,I detta kapitel redovisar utredningen förslag gällande ikraftträdande och övergångsbestämmelser som behöver införas. Vi redovisar även förslag gällande genomförande och implementering.,bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page529.md_chunk2
RN021R5,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],540,False,0.4490351676940918,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Utredningens förslag kommer att innebära att Skolverket får ett omfattande uppdrag av regeringen som kommer att bestå av flera delar. Implementeringen kommer att bestå av två delar, eftersom förslagen införs dels från 1 juli 2022, dels från 1 juli 2024. Det är av stor vikt att adekvata stödinsatser finns att tillgå för lärarna innan förslagen börjar tillämpas.",bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page540.md_chunk3
RN022R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],5,True,0.2664254307746887,100.0,16,100.0,16,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Lagrådet Regeringen beslutade den 22 juni 2023 att inhämta Lagrådets yttrande över det lagförslag som finns i propositionen. Lagrådets synpunkter behandlas i avsnitt 6.2 i propositionen. Propositionens huvudsakliga innehåll,2023_24_UbU6_20231211104325_Publicering_page5.md_chunk4
RN022R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],15,False,0.3522604703903198,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Lagförslaget bör därför antas av de skäl som anförs ovan och i proposi tionen. Utskottet delar även regeringens bedömning att riksdagens tillkännagivande får anses tillgodosett.,2023_24_UbU6_20231211104325_Publicering_page15.md_chunk8
RN022R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],7,False,0.40064406394958496,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Utskottets överväganden Inledning Betänkandet är disponerat så att utskottet inleder med att behandla regeringens lagförslag. Därefter behandlas motionsyrkanden som innehåller förslag till tillkännagivanden till regeringen i frågor som anknyter till lagförslaget. Regeringens lagförslag,2023_24_UbU6_20231211104325_Publicering_page7.md_chunk1
RN022R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],3,False,0.42909103631973267,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Utskottets förslag till riksdagsbeslut 1. Regeringens lagförslag Riksdagen antar regeringens förslag till lag om ändring i skollagen (2010:800).,2023_24_UbU6_20231211104325_Publicering_page3.md_chunk1
RN022R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],15,False,0.4361650347709656,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,I propositionen bedömer regeringen att tillkännagivandet är tillgodosett genom de förslag till ändringar i skollagen som lämnas i propositionen.,2023_24_UbU6_20231211104325_Publicering_page15.md_chunk4
RN023R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],23,False,0.3397709131240845,0.0,0,3.048780487804878,5,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Läromedelsutredningen Utredningen om stärkta skolbibliotek och läromedel har bl.a. haft i uppdrag att utreda och föreslå åtgärder för att säkra tillgången till ändamålsenliga läromedel av hög kvalitet för alla elever i förskoleklassen, grundskolan, grundsärskolan, specialskolan, sameskolan, gymnasieskolan och gymnasiesärskolan.",2023_24_UbU6_20231211104325_Publicering_page23.md_chunk3
RN023R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],23,False,0.3598145842552185,0.0,0,45.73170731707317,75,False,True,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,I uppdraget ingick också föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola. Utredningen överlämnade i augusti 2021 slutbetänkandet Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). I slutbetänkandet föreslår utredningen bl.a.,2023_24_UbU6_20231211104325_Publicering_page23.md_chunk4
RN023R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.361484169960022,100.0,164,100.0,164,False,True,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Bra läromedel är en viktig del av undervisningen och avgörande för våra barns och ungas lärande, inte minst för dem som inte kommer från studievana hem. Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola.",2023_24_UbU6_20231211104325_Publicering_page29.md_chunk2
RN023R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[29],21,False,0.3719625473022461,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,Syftet med utredningens uppdrag var att främja elevers kunskapsutveckling och att betygen bättre ska spegla elevers kunskaper.,bygga_bedoma_betygsatta_bättre_elevernas_kunskap_page21.md_chunk2
RN023R5,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.3765447735786438,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Utredningen överlämnade i augusti 2021 slutbetänkandet Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). I propositionen behandlas vissa förslag i slutbetänkandet. Vi har ställt oss bakom propositionen som innebär att elevernas rätt till läroböcker, andra läromedel och andra lärverktyg förtydligas i skollagen.",2023_24_UbU6_20231211104325_Publicering_page29.md_chunk3
RN024R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],29,True,0.4291040897369385,100.0,159,100.0,159,False,True,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor. Vi avser att noga följa frågan. 2023/24:UbU6,2023_24_UbU6_20231211104325_Publicering_page29.md_chunk5
RN024R2,2023_24_ubu6_20231211104325_publicering.pdf,den svenska kolonialmaktens betydelse.pdf,False,[29],17,False,0.45372068881988525,0.0,0,0.0,0,True,False,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,"utveckling, vilket skulle gagna både Ers Majestäts rykte och landets välstånd. [...] Jag hoppas att min påminnelse inte uppfattas negativt, utan som en ödmjuk begäran om fortsatt stöd. [33] (Egen modernisering) Oxenstierna nämner till Kristina en positiv utveckling och hur den skulle kunna fortsätta",Den svenska kolonialmaktens betydelse_page17.md_chunk6
