Result_Id,Correct_File,Guessed_File,Filename_Match,Correct_Pages,Guessed_Page,Page_Match,Distance,Text_Match_Start_Percent,Match_Length_Start,Text_Match_End_Percent,Match_Length_End,No_match,Match_Threshold,Difficulty,Category,Expected_answer,Question,Returned_Chunk,Chunk_Id
RN021R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[9],0,False,0.41667765378952026,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,Tidpunkten för ikraftträdandet När det gäller den föreslagna tidpunkten för ikraftträdandet (den 1 juli 2024) anför regeringen att syftet med förslagen till ändringar i skollagen är att elevernas tillgång till ändamålsenliga läromedel ska öka. Regeringen anser därför att lagändringarna ska träda i kraft så tidigt som möjligt.,2023_24_UbU6_20231211104325_Publicering.md_chunk89
RN021R2,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],0,False,0.4269654154777527,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,I kapitel 11–14 redovisar vi våra förslag. I kapitel 15 redovisas när förslagen ska träda i kraft och vilka övergångsbestämmelser som ska finnas samt genomförandet av förslagen. Kapitel 16 innehåller en beskrivning av de konsekvenser som utredningen har identifierat följer av förslagen.,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.md_chunk1127
RN021R3,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],0,False,0.437111496925354,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"527 15 Ikraftträdande, Ikraftträdande, övergångsbestämmelser övergångsbestämmelser ochoch genomförandegenomförande I detta kapitel redovisar utredningen förslag gällande ikraftträdande och övergångsbestämmelser som behöver införas. Vi redovisar även förslag gällande genomförande och implementering.",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.md_chunk3128
RN021R4,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],0,False,0.4487494230270386,0.0,0,0.0,0,True,False,Easy,Education,1 juli 2024,När föreslås träda i kraft?,Förslaget om ändring i lagen (2007:1157) om yrkesförarkompetens ska träda i kraft den 1 januari 2022. Överväganden om införande Våra förslag syftar till att främja elevers kunskapsutveckling och att betygen bättre ska motsvara elevernas kunskaper. Förslagen förstärker varandra och bör därför införas så samlat som möjligt för att ge eleverna de bästa förutsättningarna för utveckling och lärande.,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.md_chunk3138
RN021R5,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[9],0,False,0.4490351676940918,100.0,11,100.0,11,False,True,Easy,Education,1 juli 2024,När föreslås träda i kraft?,"Utredningens förslag kommer att innebära att Skolverket får ett omfattande uppdrag av regeringen som kommer att bestå av flera delar. Implementeringen kommer att bestå av två delar, eftersom förslagen införs dels från 1 juli 2022, dels från 1 juli 2024. Det är av stor vikt att adekvata stödinsatser finns att tillgå för lärarna innan förslagen börjar tillämpas.",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.md_chunk3204
RN022R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],0,False,0.2664254307746887,100.0,16,100.0,16,False,True,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Lagrådet Regeringen beslutade den 22 juni 2023 att inhämta Lagrådets yttrande över det lagförslag som finns i propositionen. Lagrådets synpunkter behandlas i avsnitt 6.2 i propositionen. Propositionens huvudsakliga innehåll,2023_24_UbU6_20231211104325_Publicering.md_chunk20
RN022R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],0,False,0.35383284091949463,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Lagförslaget bör därför antas av de skäl som anförs ovan och i proposi tionen. Utskottet delar även regeringens bedömning att riksdagens tillkännagivande får anses tillgodosett. Utskottet övergår nu till att behandla motionsyrkanden som innehåller förslag om tillkännagivanden i frågor som anknyter till lagförslaget.,2023_24_UbU6_20231211104325_Publicering.md_chunk96
RN022R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],0,False,0.40064406394958496,25.0,4,0.0,0,False,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Utskottets överväganden Inledning Betänkandet är disponerat så att utskottet inleder med att behandla regeringens lagförslag. Därefter behandlas motionsyrkanden som innehåller förslag till tillkännagivanden till regeringen i frågor som anknyter till lagförslaget. Regeringens lagförslag,2023_24_UbU6_20231211104325_Publicering.md_chunk25
RN022R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[5],0,False,0.42409247159957886,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,Bilaga 2 Regeringens lagförslag ................................................................................. 32 Utskottets förslag till riksdagsbeslut 1. Regeringens lagförslag Riksdagen antar regeringens förslag till lag om ändring i skollagen (2010:800).,2023_24_UbU6_20231211104325_Publicering.md_chunk12
RN022R5,2023_24_ubu6_20231211104325_publicering.pdf,examensarbete150510.pdf,False,[5],0,False,0.44682246446609497,0.0,0,0.0,0,True,False,Easy,Education,Den 22 juni 2023,När beslutade regeringen att inhämta Lagrådets yttrande över lagförslaget?,"[22] Förslaget hade utformats i samarbete med försäkringsbranschen, som trots att de i det här läget inte var negativt inställda till en ny lag ändå kritiserade innehållet på ett antal punkter. Kritiken skulle dock intensifieras, vilket jag",Examensarbete150510.md_chunk66
RN023R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],0,False,0.3598145842552185,0.0,0,45.73170731707317,75,False,True,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,I uppdraget ingick också föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola. Utredningen överlämnade i augusti 2021 slutbetänkandet Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). I slutbetänkandet föreslår utredningen bl.a.,2023_24_UbU6_20231211104325_Publicering.md_chunk155
RN023R2,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],0,False,0.361484169960022,100.0,164,100.0,164,False,True,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Bra läromedel är en viktig del av undervisningen och avgörande för våra barns och ungas lärande, inte minst för dem som inte kommer från studievana hem. Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola.",2023_24_UbU6_20231211104325_Publicering.md_chunk190
RN023R3,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],0,False,0.3676304817199707,2.4390243902439024,4,0.0,0,False,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"1 Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). U TSKOTTETS ÖVERVÄGANDEN kunskapsutveckling och förhålla sig till aktuella läroplaner och kurs-, ämneseller ämnesområdesplaner samt skollagen.",2023_24_UbU6_20231211104325_Publicering.md_chunk81
RN023R4,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],0,False,0.37653130292892456,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Utredningen överlämnade i augusti 2021 slutbetänkandet Läromedelsutredningen – böckernas betydelse och elevernas tillgång till kunskap (SOU 2021:70). I propositionen behandlas vissa förslag i slutbetänkandet. Vi har ställt oss bakom propositionen som innebär att elevernas rätt till läroböcker, andra läromedel och andra lärverktyg förtydligas i skollagen.",2023_24_UbU6_20231211104325_Publicering.md_chunk191
RN023R5,2023_24_ubu6_20231211104325_publicering.pdf,bygga_bedoma_betygsatta_bättre_elevernas_kunskap.pdf,False,[29],0,False,0.38322561979293823,0.0,0,0.0,0,True,False,Easy,Education,Den socialdemokratiskt ledda regeringen tillsatte 2019 en utredning med uppdrag att bl.a. föreslå hur statens roll bör se ut när det gäller läromedel i svensk skola,Vad var syftet med Läromedelsutredningen som tillsattes 2019?,"Syftet med utredningens uppdrag var att främja elevers kunskapsutveckling och att betygen bättre ska spegla elevers kunskaper. I vårt arbete har vi haft fokus på elever och lärare och vi har med våra förslag strävat efter att skapa system som ger bättre förutsättningar för elevers lärande och bättre förutsättningar för lärares undervisning, bedömning och betygssättning.",bygga_bedoma_betygsatta_bättre_elevernas_kunskap.md_chunk109
RN024R1,2023_24_ubu6_20231211104325_publicering.pdf,2023_24_ubu6_20231211104325_publicering.pdf,True,[29],0,False,0.4034557342529297,100.0,159,100.0,159,False,True,Easy,Education,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor,Vad anser undertecknarna är angeläget att regeringen fortsätter med?,Vi anser att det är angeläget att regeringen fortsätter arbetet för att säkerställa en god och likvärdig tillgång till läromedel av hög kvalitet på alla skolor. Vi avser att noga följa frågan.,2023_24_UbU6_20231211104325_Publicering.md_chunk193
